Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       24     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()>&& std::forward<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()> >(std::remove_reference<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, rp::Base* (*)()> >::type&)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >::_M_ptr() const
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >::_M_addr() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >::operator()(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> const&) const
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >::_M_valptr() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >::_S_key(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > const*)
  0.00      0.00     0.00       12     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.00     0.00       12     0.00     0.00  std::_Vector_base<rp::Base*, std::allocator<rp::Base*> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<rp::Base*, std::allocator<rp::Base*> >::_Vector_impl_data const&)
  0.00      0.00     0.00       12     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.00     0.00       12     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.00     0.00       12     0.00     0.00  rp::Base* (*&&std::forward<rp::Base* (*)()>(std::remove_reference<rp::Base* (*)()>::type&))()
  0.00      0.00     0.00       12     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.00     0.00       11     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.00     0.00       11     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*)
  0.00      0.00     0.00       11     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.00     0.00       11     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char const*>(char const*, char const*, std::__false_type)
  0.00      0.00     0.00       10     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00        9     0.00     0.00  std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      0.00     0.00        9     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00        8     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >::_M_get_Node_allocator()
  0.00      0.00     0.00        8     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >::_M_end()
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<PngChunk*, std::allocator<PngChunk*> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<PngChunk*, std::allocator<PngChunk*> >::_Vector_impl_data const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<rp::GameObject*, std::allocator<rp::GameObject*> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<rp::GameObject*, std::allocator<rp::GameObject*> >::_Vector_impl_data const&)
  0.00      0.00     0.00        6     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<PngChunk*, std::allocator<PngChunk*> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<rp::GameObject*, std::allocator<rp::GameObject*> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<rp::GameObject*, std::allocator<rp::GameObject*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        5     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00        4     0.00     0.00  rp::BaseFactory::getMap[abi:cxx11]()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<rp::GameObject*>::~new_allocator()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<rp::Base*>::new_allocator(__gnu_cxx::new_allocator<rp::Base*> const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rp::Base* (*)()> > >::allocate(unsigned long, void const*)
